"alpha100","alpha250","alpha500","alpha1000"
0.99999999,0.839349152141066,0.896586797830989,0.789453025469888
0.775208228752813,0.770739310017244,0.825334477846654,0.995372380963807
0.99999999,0.74514682012177,0.942790967503117,0.748764730899074
0.824681495390687,0.802679404783565,0.800672696148187,0.755159964336177
0.771671311493083,0.99999999,0.782017550902439,0.958678647921523
0.894986587309446,0.881735996127068,0.760192689371793,0.967187025875361
0.99999999,0.777631217018299,0.905541690741754,0.857190308131887
0.176425306443885,0.90518190213653,0.91325299249551,0.955802598006935
0.699398989219944,0.835160898294677,0.862024693317518,0.972829679001476
0.859177855147288,0.739286047724103,0.951976256040075,0.918717088375147
0.941838818732832,0.778424424546719,0.948148200441732,0.903557355193527
0.846622360953767,0.730344012943802,0.894219888309272,0.854034246762891
0.944914493551141,0.99999999,0.864979908319582,0.737512076211781
0.691148681530055,0.759499506229314,0.917602202676365,0.924381588627775
0.750151928966943,0.972720530500673,0.781326247509379,0.904472284642125
0.511960024217733,0.99999999,0.831030877786955,0.99999999
0.99999999,0.876318792164664,0.873831459333199,0.910415166973187
0.843596453397215,0.99999999,0.772455733172932,0.86464619598173
0.579885687452452,0.889937953066193,0.939202923802338,0.845791903094351
0.99999999,0.638572387386643,0.785103866602306,0.99999999
0.933821618457381,0.720237938860151,0.87393978139283,0.875377734350175
0.652677199032516,0.842842697508566,0.90836209204945,0.99999999
0.918686545808184,0.99999999,0.746432104510083,0.99999999
0.99999999,0.921706313160626,0.99999999,0.712016193542449
0.636295582629708,0.922214055584324,0.970481585344739,0.99999999
0.99999999,0.99999999,0.953724925556405,0.874542054338291
0.254258319936895,0.554488483774896,0.965549253276917,0.824067342231026
0.968944834512716,0.966028506564351,0.99999999,0.799931039459498
0.921501009523824,0.885655976488308,0.968936285641986,0.915951526161721
0.974060613809886,0.937882835481392,0.960207439601688,0.955495443200071
0.99999999,0.99999999,0.801312363347178,0.841525015027011
0.645791614115738,0.832782229672362,0.776136756454006,0.986201974180857
0.983981123326882,0.967292514921183,0.915366790601557,0.904581431665823
0.575388657290459,0.99999999,0.904845887062346,0.951104326773408
0.750989499919022,0.924913219955107,0.871235357790454,0.99999999
0.99999999,0.788664717515791,0.877501150441306,0.865850765550247
0.985421748941783,0.96267244478736,0.899858781555652,0.881384902615656
0.99999999,0.746952445593947,0.878222251391337,0.858520232425369
0.885617507708457,0.883465831579865,0.987440411530111,0.961075846172921
0.874662865527068,0.99999999,0.739040461971571,0.917793271550188
0.272681677553752,0.837567474623592,0.836258410498371,0.944141535482117
0.740361789451391,0.955165295191232,0.99999999,0.880970921561608
0.986950400257296,0.91734188655024,0.852374209783539,0.83535293027284
0.802207627567289,0.99999999,0.803527120805986,0.94149103560135
0.99999999,0.751090495389778,0.964633646009141,0.978164874895441
0.672041636749844,0.786965968171187,0.949354292885621,0.879900906544201
0.71848223596969,0.988924069377092,0.920157914140848,0.892037143109366
0.99999999,0.871922233867655,0.99999999,0.854034227690412
0.99999999,0.99999999,0.791926055929738,0.800113741333221
0.935609481553466,0.99999999,0.964974349990573,0.824024466234074
0.764195871807574,0.905884026573084,0.8854023007595,0.74111399658928
0.907942769065811,0.787709448768609,0.743692233927906,0.823875863697463
0.369872387017687,0.99999999,0.988572870743549,0.899298696822612
0.99999999,0.759817351666137,0.829761247497712,0.856174241054146
0.618117677953344,0.83400833016027,0.849142006724845,0.909213765559098
0.53346973475206,0.870324274273364,0.908450211078203,0.85790955540018
0.699912790189418,0.987687459078524,0.914000535912993,0.850367987899391
0.99999999,0.739946137628577,0.839063224442775,0.848894579027157
0.373436631384246,0.861224005450614,0.740384312846806,0.99999999
0.877270007541504,0.779973869882582,0.766355414002655,0.969329138403531
0.822718034370276,0.890029611467041,0.895630837093173,0.951210585395324
0.521536045535794,0.995583293483609,0.691803206004233,0.877419846058731
0.246654174675124,0.732560600226749,0.864983353957137,0.99999999
0.688820035678328,0.656800790701745,0.719598857246211,0.842441517128237
0.783189623813933,0.99999999,0.779030278151658,0.789708349531106
0.99999999,0.60563866940608,0.729212317858021,0.836463340304126
0.81366295086887,0.85956370457202,0.90357157179,0.881878256264234
0.504179756965991,0.827222243543202,0.926695592968996,0.829025339591784
0.824859833796545,0.985917765755122,0.997949504252768,0.811430963165126
0.844864271021244,0.82657197728853,0.957603137707451,0.864659442160289
0.99999999,0.99999999,0.835758851753142,0.881467903194417
0.739507598160231,0.932303473625297,0.869234827090429,0.920778940387097
0.858860564249174,0.873213344005903,0.855842809443595,0.918373937164022
0.676915249401099,0.707817736625769,0.83907698320389,0.846489978968185
0.965786691717177,0.839824442159038,0.947482772562883,0.935308587776141
0.99999999,0.918448469124995,0.887917524818688,0.99999999
0.814312200429371,0.99999999,0.795034385991866,0.932800168816632
0.783703424305838,0.99999999,0.99999999,0.895134327095818
0.806196178047909,0.804933728893783,0.626949347988053,0.90339285164389
0.495734750729322,0.780431389269053,0.774378844321741,0.875627345530027
0.908597258952895,0.864606748163647,0.99999999,0.962908346230968
0.322754972816438,0.628546533387062,0.796924333182686,0.873756117354013
0.549927493791562,0.99999999,0.924994599962135,0.94034422782167
0.646415360472473,0.99999999,0.765398264154457,0.902652064552058
0.929909876047293,0.99999999,0.87480250485396,0.985911583691396
0.921870049395242,0.958722469228832,0.957758484801695,0.87100088881233
0.99999999,0.965705413932363,0.957648978011605,0.929368741016052
0.985195248131317,0.869585234830093,0.857470269218154,0.788428226739912
0.687794383715906,0.839348438481727,0.8223308838959,0.899962066257573
0.729527393697117,0.99999999,0.981367495229027,0.806336569093183
0.795617547989977,0.816380398642,0.852719038507728,0.837270894661494
0.99999999,0.495523166622574,0.859767074337423,0.933342142178021
0.640217112081421,0.974918924019156,0.856053148135388,0.817905369060386
0.933480373736127,0.834675485539962,0.717781690280834,0.838035983477546
0.635979747500182,0.656895418891711,0.999089538846462,0.965316527974583
0.845146745037375,0.901213624093237,0.99999999,0.96370245493516
0.99999999,0.99999999,0.991785795559899,0.99999999
0.818401908825827,0.869949629293919,0.988880489649145,0.804364896375587
0.532575184293364,0.919509488276666,0.99999999,0.892492688803414
0.99999999,0.99999999,0.927097953020758,0.982464875547122
0.544977210990148,0.792107469473342,0.909383973767903,0.938035535602134
0.99999999,0.904080022686548,0.889002588934189,0.894561649310955
0.900802591619204,0.940880821259394,0.651155462492016,0.862632734909202
0.99999999,0.99999999,0.99999999,0.896081668841623
0.99999999,0.742034092654888,0.802779264388757,0.892103379413303
0.844175589835858,0.927851574413038,0.994634481866955,0.927339774091993
